source,destination
yio chu kang,khatib
caldecott,botanic gardens
geylang bahru,bendemeer
marsiling,kranji
dhoby ghaut,bras basah
telok ayer,chinatown
sumang,nibong
dakota,paya lebar
bedok,tanah merah
lakeside,boon lay
tiong bahru,outram park
admiralty,sembawang
tampines,tampines east
buangkok,sengkang
tanah merah,bedok
one-north,buona vista
kangkar,bakau
one-north,kent ridge
little india,newton
cashew,hillview
lavender,kallang
yishun,canberra
newton,orchard
redhill,tiong bahru
bayfront,marina bay
kaki bukit,bedok north
bukit panjang,phoenix
haw par villa,kent ridge
bedok north,kaki bukit
clarke quay,dhoby ghaut
